Movie_Title,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
10 Things I Hate About You,/10-Things-I-Hate-About-You.html,8,2,3,5,3,7,2,1,0,0,0,19152
12,/12.html,1,0,1,0,1,0,0,1,0,2,0,14144
12 and Holding,/12-and-Holding.html,10,4,3,1,5,4,0,7,0,1,0,18999
12 Monkeys,/12-Monkeys.html,4,5,2,2,1,3,0,1,0,2,0,32272
12 Years a Slave,/12-Years-a-Slave.html,0,0,12,1,0,0,0,0,0,3,0,31014
127 Hours,/127-Hours.html,10,10,1,0,0,3,0,0,0,0,0,18959
15 Minutes,/15-Minutes.html,15,1,1,0,2,1,0,0,0,3,0,26049
17 Again,/17-Again.html,1,0,1,1,0,0,1,0,0,2,0,19103
187,/187.html,20,16,11,11,3,7,0,1,0,2,0,26364
2012,/2012.html,6,0,5,0,0,4,0,0,0,4,0,26650
30 Minutes or Less,/30-Minutes-or-Less.html,61,92,5,10,9,6,4,4,3,0,0,24500
42,/42.html,3,0,4,2,0,1,0,0,0,2,0,28607
44 Inch Chest,/44-Inch-Chest.html,6,34,0,4,0,0,0,0,4,6,0,21746
48 Hrs.,/48-Hrs..html,29,13,7,7,9,22,1,3,1,3,0,21550
50-50,/50-50.html,12,14,2,2,1,3,1,3,0,0,1,22069
500 Days of Summer,/500-Days-of-Summer.html,20,2,3,3,1,3,0,1,1,0,16,18698
8MM,/8MM.html,6,23,0,1,0,2,0,2,0,0,0,32332
9,/9.html,0,0,0,0,0,0,0,0,0,0,0,17521
A Few Good Men,/A-Few-Good-Men.html,12,5,7,0,1,4,0,0,0,1,0,28546
A Most Violent Year,/A-Most-Violent-Year.html,7,12,1,0,0,1,0,1,0,0,0,27272
A Scanner Darkly,/A-Scanner-Darkly.html,25,44,1,0,1,3,1,0,1,3,0,28460
A Serious Man,/A-Serious-Man.html,5,1,0,0,3,1,6,0,0,1,0,22459
Above the Law,/Above-the-Law.html,5,11,1,0,3,11,1,2,0,2,0,28233
Absolute Power,/Absolute-Power.html,9,3,4,1,4,1,0,0,0,3,0,25497
"Abyss, The","/Abyss,-The.html",12,1,4,9,0,5,1,1,0,0,0,32277
Adaptation,/Adaptation.html,11,16,3,1,2,5,0,0,0,0,0,26438
"Addams Family, The","/Addams-Family,-The.html",0,0,2,0,0,0,0,0,0,0,0,8670
"Adjustment Bureau, The","/Adjustment-Bureau,-The.html",6,2,0,1,0,2,1,1,0,2,0,25433
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The","/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",6,0,13,0,1,2,0,0,0,0,0,25903
Affliction,/Affliction.html,17,18,4,0,5,3,0,0,0,4,0,16881
After School Special,/After-School-Special.html,14,1,1,0,4,4,3,2,0,1,0,23453
After.Life,/After.Life.html,6,9,0,1,0,0,0,0,0,0,0,22177
Agnes of God,/Agnes-of-God.html,0,0,1,1,0,0,0,0,0,0,0,14493
Air Force One,/Air-Force-One.html,8,7,1,1,4,2,0,0,0,2,0,27003
Airplane,/Airplane.html,4,0,2,0,1,1,0,0,0,1,0,19650
Aladdin,/Aladdin.html,0,0,0,0,0,0,0,0,0,0,0,17926
Ali,/Ali.html,1,5,4,0,0,3,8,0,0,0,0,33431
Alien,/Alien.html,4,0,8,0,0,0,0,0,0,2,0,22776
Alien 3,/Alien-3.html,6,1,2,0,0,2,0,0,0,3,0,22187
Alien Nation,/Alien-Nation.html,17,2,5,5,2,6,1,0,0,0,0,26090
Alien vs. Predator,/Alien-vs.-Predator.html,16,3,2,0,0,3,1,0,0,1,0,29649
Aliens,/Aliens.html,10,11,1,3,1,2,0,0,0,1,0,28743
All About Eve,/All-About-Eve.html,0,0,1,0,0,0,0,0,0,0,0,30500
All About Steve,/All-About-Steve.html,1,0,2,1,7,1,0,0,0,1,0,23620
All the King's Men,/All-the-King's-Men.html,0,0,0,0,0,0,0,0,0,0,0,23469
All the President's Men,/All-the-President's-Men.html,9,11,1,1,0,1,1,0,0,2,0,25148
Almost Famous,/Almost-Famous.html,3,10,4,0,2,3,100,0,0,0,0,36396
Alone in the Dark,/Alone-in-the-Dark.html,1,1,1,0,2,1,0,0,0,0,0,24987
Amadeus,/Amadeus.html,6,2,3,0,0,0,0,0,0,0,0,36645
Amelia,/Amelia.html,1,0,4,0,1,3,0,0,0,0,0,27090
American Beauty,/American-Beauty.html,10,13,2,2,4,1,6,2,0,1,0,21334
American Gangster,/American-Gangster.html,6,31,1,1,0,3,0,0,0,0,0,31545
American Graffiti,/American-Graffiti.html,10,0,5,1,1,6,1,0,0,0,0,28091
American History X,/American-History-X.html,50,38,3,10,9,16,6,7,0,1,0,20868
American Hustle,/American-Hustle.html,18,23,2,5,0,4,10,0,0,0,0,32053
American Madness,/American-Madness.html,0,0,0,0,0,0,0,0,0,0,0,24822
American Milkshake,/American-Milkshake.html,22,10,9,0,4,6,2,0,0,0,0,18064
American Outlaws,/American-Outlaws.html,2,0,10,0,0,1,0,0,0,2,0,21763
American Pie,/American-Pie.html,26,16,9,0,2,4,0,1,0,0,0,21482
"American President, The","/American-President,-The.html",5,3,9,0,0,6,0,0,0,0,0,27167
American Psycho,/American-Psycho.html,5,7,0,10,5,3,0,1,0,8,0,21294
American Sniper,/American-Sniper.html,26,29,3,1,1,20,3,0,0,1,0,23830
American Splendor,/American-Splendor.html,14,0,7,1,2,4,0,0,0,1,0,20210
American Werewolf in London,/American-Werewolf-in-London.html,6,5,1,0,2,2,0,0,0,0,0,16977
"American, The","/American,-The.html",6,3,1,0,0,0,1,0,0,0,0,24104
"Amityville Asylum, The","/Amityville-Asylum,-The.html",9,14,2,4,0,0,0,1,1,0,0,17991
Amour,/Amour.html,0,1,0,0,0,0,0,0,0,0,0,14391
An Education,/An-Education.html,0,0,0,0,0,1,0,0,0,1,0,23256
Analyze That,/Analyze-That.html,20,14,1,3,7,1,0,5,1,0,0,22828
Analyze This,/Analyze-This.html,14,15,2,2,2,6,1,0,0,4,0,23765
Anastasia,/Anastasia.html,0,0,0,0,0,0,0,0,0,0,0,21265
Angel Eyes,/Angel-Eyes.html,9,0,8,3,2,7,0,0,0,2,0,28212
Angels & Demons,/Angels-&-Demons.html,1,0,5,0,0,1,0,0,0,2,0,30054
Anna Karenina,/Anna-Karenina.html,0,0,2,0,0,0,0,0,0,0,0,28583
Annie Hall,/Annie-Hall.html,0,0,0,0,1,1,4,0,0,0,0,28560
"Anniversary Party, The","/Anniversary-Party,-The.html",15,26,7,3,1,2,0,0,0,1,0,17487
Anonymous,/Anonymous.html,0,0,1,0,0,1,0,0,1,1,0,27996
Antitrust,/Antitrust.html,4,0,2,0,0,2,0,0,0,0,0,26022
Antz,/Antz.html,0,0,2,0,0,1,0,0,0,0,0,18345
"Apartment, The","/Apartment,-The.html",0,0,2,0,0,0,0,0,0,0,0,30893
Apocalypse Now,/Apocalypse-Now.html,14,5,11,8,4,1,0,0,0,0,0,30121
April Fool's Day,/April-Fool's-Day.html,12,13,0,0,2,3,0,0,0,1,0,21396
Apt Pupil,/Apt-Pupil.html,4,22,2,1,0,0,95,0,0,1,0,30395
Arbitrage,/Arbitrage.html,2,22,1,1,0,3,0,0,0,0,0,18864
Arcade,/Arcade.html,14,7,0,2,0,1,1,0,0,1,0,22926
Arctic Blue,/Arctic-Blue.html,13,10,11,1,1,6,0,0,1,3,0,27560
Argo,/Argo.html,2,11,1,0,0,1,1,0,0,0,0,24189
Armageddon,/Armageddon.html,12,2,2,3,0,15,1,1,0,1,0,28440
Army of Darkness,/Army-of-Darkness.html,1,0,6,1,0,1,0,0,0,0,0,16184
Arsenic and Old Lace,/Arsenic-and-Old-Lace.html,0,0,0,0,0,0,0,0,0,0,0,33407
Arthur,/Arthur.html,12,5,1,2,0,4,0,0,0,1,0,22411
"Artist, The","/Artist,-The.html",0,0,0,0,0,1,0,0,0,0,0,15321
As Good As It Gets,/As-Good-As-It-Gets.html,3,2,2,3,0,4,0,0,0,1,0,21638
Assassins,/Assassins.html,25,21,2,5,0,5,0,1,0,0,0,23561
"Assignment, The","/Assignment,-The.html",17,18,1,7,5,5,0,5,0,2,0,33690
At First Sight,/At-First-Sight.html,4,1,3,0,0,0,0,0,0,0,0,27557
Austin Powers - International Man of Mystery,/Austin-Powers---International-Man-of-Mystery.html,1,0,2,0,0,2,0,1,0,1,0,19996
Austin Powers - The Spy Who Shagged Me,/Austin-Powers---The-Spy-Who-Shagged-Me.html,4,0,1,1,0,14,1,0,0,59,0,17982
Authors Anonymous,/Authors-Anonymous.html,3,0,2,0,0,1,0,1,0,1,0,21745
Autumn in New York,/Autumn-in-New-York.html,4,1,8,2,1,3,0,0,0,0,0,24333
Avatar,/Avatar.html,13,0,8,8,1,9,0,1,1,0,0,35757
"Avengers, The","/Avengers,-The.html",0,0,2,0,0,0,0,0,0,1,0,23541
"Avengers, The (2012)","/Avengers,-The-(2012).html",11,4,3,1,0,6,0,0,0,0,0,24891
"Avventura, L' (The Adventure)","/Avventura,-L'-(The-Adventure).html",0,0,0,0,0,0,0,0,0,0,0,30415
Awakenings,/Awakenings.html,0,0,0,0,0,0,1,0,0,0,0,32071
Babel,/Babel.html,4,9,7,1,4,3,0,1,0,0,0,27169
Bachelor Party,/Bachelor-Party.html,21,2,2,1,5,6,4,0,0,0,0,22948
"Bachelor Party, The","/Bachelor-Party,-The.html",0,0,0,0,0,0,0,0,0,0,0,26622
Back to the Future,/Back-to-the-Future.html,0,0,0,0,0,0,0,0,0,0,0,23
Back to the Future II & III,/Back-to-the-Future-II-&-III.html,0,0,0,0,0,0,0,0,0,0,0,24
"Back-up Plan, The","/Back-up-Plan,-The.html",9,9,2,2,1,15,0,0,0,0,0,21320
Backdraft,/Backdraft.html,17,9,5,13,3,10,0,2,0,1,0,27934
Bad Boys,/Bad-Boys.html,29,27,5,1,3,17,8,3,0,0,0,27096
Bad Country,/Bad-Country.html,19,43,10,1,0,7,1,0,0,0,0,23423
Bad Day at Black Rock,/Bad-Day-at-Black-Rock.html,0,0,0,0,0,0,0,0,0,0,0,22482
Bad Dreams,/Bad-Dreams.html,17,9,7,0,1,2,1,0,0,1,0,24130
Bad Lieutenant,/Bad-Lieutenant.html,18,17,0,0,2,1,0,1,0,1,0,15354
Bad Santa,/Bad-Santa.html,41,62,0,9,3,21,5,4,0,1,0,16368
Bad Teacher,/Bad-Teacher.html,10,15,2,2,0,7,1,0,0,0,0,21724
Badlands,/Badlands.html,0,0,3,0,0,1,0,0,0,0,0,14790
Bamboozled,/Bamboozled.html,1,1,9,1,0,13,0,0,0,1,0,24967
Barry Lyndon,/Barry-Lyndon.html,0,0,0,0,0,0,0,0,1,0,0,33449
Barton Fink,/Barton-Fink.html,4,1,6,3,0,6,1,0,0,1,0,22274
